Date,Total_PnL,Total_Volume_USD,Unique_Traders,Total_Trades,FGI_Value,Sentiment
2024-08-18,307.201888,62804.47,1,14,31,Fear
2024-08-19,339.69958299999996,100315.03,1,8,28,Fear
2024-08-20,192.602844,42417.87,1,8,30,Fear
2024-08-23,1005.30527,63509.56,1,10,34,Fear
2024-08-24,0.0,34999.67,2,7,56,Greed
2024-08-25,0.0,21950.28,2,17,54,Neutral
2024-08-26,231.236918,92611.27,2,6,55,Greed
2024-08-27,0.0,70250.16,2,50,48,Neutral
2024-08-28,1333.359645,71160.06999999999,2,9,30,Fear
2024-08-29,0.0,9995.85,1,1,29,Fear
2024-08-30,256.464,37233.24,4,6,34,Fear
2024-08-31,0.0,100001.1,2,10,29,Fear
2024-09-02,0.0,30000.42,1,2,26,Fear
2024-09-04,1065.785132,131480.97,2,34,27,Fear
2024-09-05,0.0,0.84,1,1,29,Fear
2024-09-06,-1104.856765,39047.1,2,42,22,Fear
2024-09-09,0.0,4014.4300000000003,1,2,26,Fear
2024-09-10,0.0,766.74,1,1,33,Fear
2024-09-11,0.0,0.54,1,1,37,Fear
2024-09-14,0.0,1014.8000000000001,2,11,50,Neutral
2024-09-18,-878.684794,13633.5,1,145,45,Neutral
2024-09-19,0.0,1521.8700000000001,1,19,49,Neutral
2024-09-20,9585.03428,332873.38,2,16,54,Neutral
2024-09-21,36165.56933,165648.12,1,23,54,Neutral
2024-09-22,0.0,19999.739999999998,1,3,52,Neutral
2024-09-23,334.760796,40334.29,1,2,50,Neutral
2024-09-24,0.0,7118.63,2,10,54,Neutral
2024-09-25,0.0,52754.130000000005,2,9,59,Greed
2024-09-26,439.812513,113711.93000000001,2,8,50,Neutral
2024-09-27,0.0,126097.04,2,56,61,Greed
2024-09-28,0.0,29199.21,1,4,64,Greed
2024-09-30,2710.626288,214669.85,2,106,61,Greed
2024-10-01,0.0,139954.32,1,4,50,Neutral
2024-10-02,0.0,99954.34,1,4,42,Fear
2024-10-03,0.0,120009.0,1,4,37,Fear
2024-10-04,0.0,0.34,1,1,41,Fear
2024-10-05,5767.161892,605605.74,2,37,49,Neutral
2024-10-06,130.487079,300130.56,1,22,50,Neutral
2024-10-07,0.0,219984.65,1,21,50,Neutral
2024-10-08,5396.546638,434584.13,2,36,49,Neutral
2024-10-09,396.06272,220399.93,1,14,49,Neutral
2024-10-10,0.0,300024.33999999997,1,16,39,Fear
2024-10-11,8885.327477,488904.19,2,26,32,Fear
2024-10-12,541.55471,159713.4,1,10,49,Neutral
2024-10-13,0.0,60002.42,1,10,50,Neutral
2024-10-14,1913.61958,61916.020000000004,1,5,48,Neutral
2024-10-15,1170.2260760000001,81173.36,1,7,65,Greed
2024-10-16,219.480876,80229.17,1,11,73,Greed
2024-10-17,36.11496,140032.03,1,8,71,Greed
2024-10-18,333.219141,120331.43000000001,1,6,73,Greed
2024-10-19,0.0,99996.86,1,4,72,Greed
2024-10-20,229.060526,120225.71,1,6,73,Greed
2024-10-21,0.0,150024.18,1,11,72,Greed
2024-10-22,0.0,60000.36,1,3,70,Greed
2024-10-23,-46.489941,210006.07,1,18,71,Greed
2024-10-25,13235.862071,427883.18,2,30,72,Greed
2024-10-27,666.6623079999999,90664.41,1,4,74,Greed
2024-10-28,0.0,119994.32,1,9,72,Greed
2024-10-29,0.0,602574.92,1,37,72,Greed
2024-10-31,765.475192,853642.02,1,28,77,Greed
2024-11-01,1040.5747959999999,231031.1,1,9,75,Greed
2024-11-02,0.0,40000.0,1,2,72,Greed
2024-11-03,0.0,109994.34,1,4,74,Greed
2024-11-04,2259.351364,432210.64,1,26,70,Greed
2024-11-05,678.4759280000001,200627.23,1,10,70,Greed
2024-11-06,2821.24842,121906.38,1,12,70,Greed
2024-11-07,628.96246,60628.85,1,2,77,Greed
2024-11-08,646.3734049999999,240641.63,1,24,75,Greed
2024-11-09,0.0,150000.41,1,9,75,Greed
2024-11-10,548.36595,180546.95,1,8,78,Greed
2024-11-11,1479.677222,1232302.27,2,197,76,Greed
2024-11-12,2053.119744,1062217.74,1,74,80,Greed
2024-11-13,7680.907897,487811.82,1,25,84,Greed
2024-11-14,2348.106228,882430.6900000001,1,41,88,Greed
2024-11-15,2003.536586,1360371.8,1,79,80,Greed
2024-11-16,255.14686999999998,219874.16999999998,1,12,86,Greed
2024-11-17,546.624374,1162811.56,2,94,90,Greed
2024-11-18,3206.3617600000002,1892182.83,3,81,83,Greed
2024-11-19,1573.210981,319742.29,2,31,90,Greed
2024-11-20,2259.775633,838287.08,1,33,83,Greed
2024-11-21,909.745283,160082.19,1,9,82,Greed
2024-11-22,-19401.98745,640090.8300000001,2,30,94,Greed
2024-11-23,0.0,60006.729999999996,1,9,93,Greed
2024-11-24,445.338356,520442.5,1,33,80,Greed
2024-11-25,5059.459732,864428.22,1,30,82,Greed
2024-11-26,1603.1,890726.62,2,49,79,Greed
2024-11-27,-2848.159792,1256511.88,1,44,75,Greed
2024-11-28,-131096.684429,1655585.28,2,94,77,Greed
2024-11-29,142980.385971,409240.54,5,82,78,Greed
2024-11-30,31617.150156,1591592.51,4,129,84,Greed
2024-12-01,351.402445,603238.76,4,34,81,Greed
2024-12-02,754.7378,381072.46,4,68,80,Greed
2024-12-03,22392.613443,847688.76,2,154,76,Greed
2024-12-04,275323.753519,542747.96,4,68,78,Greed
2024-12-05,51435.563325,811997.56,3,25,84,Greed
2024-12-06,-93404.83645900001,3298998.7,6,197,72,Greed
2024-12-07,80857.650079,333571.32,4,38,75,Greed
2024-12-08,-21.54374,582867.66,3,157,79,Greed
2024-12-09,2350.515482,492145.43,6,120,78,Greed
2024-12-10,10138.668039,970503.37,4,254,78,Greed
2024-12-11,278387.902547,1144762.83,5,218,74,Greed
2024-12-12,451792.002573,1403629.57,8,518,83,Greed
2024-12-13,17337.023971,1441824.46,5,342,76,Greed
2024-12-14,150149.017935,1844608.23,7,947,83,Greed
2024-12-15,73504.723327,1531846.58,9,871,80,Greed
2024-12-16,17330.873928,1568185.15,6,455,83,Greed
2024-12-17,64844.929093,1768297.42,7,757,87,Greed
2024-12-18,4471.435472,2865393.42,7,643,81,Greed
2024-12-19,22526.822758000002,2748466.53,8,798,75,Greed
2024-12-20,10708.077615,1283835.94,7,576,74,Greed
